run_id,modelo,quantizacao,pergunta_id,tipo,resposta_gerada,ids_recuperados,ids_citados,citacoes_validas,total_citacoes,alucinacao,recusou_correto,latencia_1tok_s,tokens_por_s,vram_gb,temperatura,seed,timestamp
r001,qwen2.5-7b-instruct-1m,,Q01,Factual direta,"A senadora Damares Alves discursou sobre segurança em 16 de maio de 2025 [D1], destacando a excelência da Polícia Militar do Distrito Federal (PMDF) e defendendo a valorização da carreira policial, com promoções e reajustes salariais. Esse tema é consistente com os discursos predominantes na amostra, que registra 13 mencionações relacionadas à segurança [ref: estatísticas agregadas].",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1,1,1,0,,3.606,19.03,,0.1,42,2026-06-09T10:28:25
r002,qwen2.5-7b-instruct-1m,,Q02,Factual direta,"O tema do discurso de Eduardo Girão sobre a CPI das Bets foi ""Política"" [D1]. Em seu pronunciamento, ele comentou sobre a influência das empresas de apostas on-line no futebol brasileiro e elogiou o técnico Filipe Luís, do Flamengo. Embora o discurso tenha se concentrado em aspectos políticos, é importante notar que o período considerado para análise é curto (12 dias), o que limita a profundidade da análise temática.",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1,1,1,0,,2.857,22.0,,0.1,42,2026-06-09T10:28:30
r003,qwen2.5-7b-instruct-1m,,Q03,Factual direta,"A senadora Leila Barros defendeu a importância da Polícia Militar do Distrito Federal (PMDF) como instituição essencial à segurança pública e destacou a necessidade de valorização da categoria, com qualificação contínua, reconhecimento profissional e melhoria salarial. Ela também apontou o Fundo Constitucional do Distrito Federal como um instrumento crucial para remuneração das forças de segurança [D1].",D1;D2;D3;D4;D5;D6;D7;D8,D1,1,1,0,,2.772,20.24,,0.1,42,2026-06-09T10:28:35
r004,qwen2.5-7b-instruct-1m,,Q04,Factual direta,"O senador FREDERICO CABRAL DE MENEZES foi um dos parlamentares que discursou sobre o aniversário de 35 anos da Conab [D1]. Além dele, JULCIANE ANZILAGO também abordou o tema em seu pronunciamento [D2], destacando a atuação do órgão na agricultura camponesa. Esses discursos ocorreram no dia 14 de maio de 2025. Embora outros temas tenham sido tratados durante esse período, essas sessões solenes se concentraram na importância da Conab para a segurança alimentar e o abastecimento do país [D6].",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1;D2;D6,3,3,0,,2.866,24.7,,0.1,42,2026-06-09T10:28:41
r005,qwen2.5-7b-instruct-1m,,Q05,Factual direta,"O senador Confúcio Moura representa o estado de Rondônia [D1]. Ele tem destacado a educação no seu estado em discursos recentes, como no pronunciamento de 12 de maio de 2025 [D1], onde abordou os avanços e desafios da educação em Rondônia.",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1;D1,2,2,0,,2.869,17.54,,0.1,42,2026-06-09T10:28:45
r006,qwen2.5-7b-instruct-1m,,Q06,Factual direta,"O senador Izalci Lucas pertence ao Partido Liberal (PL) [D1]. Baseando-se nos discursos analisados, todos os registros indicam sua afiliação ao PL. Além disso, seu trabalho abrange temas como Segurança e Política, sendo um dos parlamentares mais ativos na amostra com 6 pronunciamentos no período de 2025-05-07 a 2025-05-16 [D1, D2, D3, D4, D5, D6].",D1;D2;D3;D4;D5;D6,D1;D1;D2;D3;D4;D5;D6,7,7,0,,2.697,23.43,,0.1,42,2026-06-09T10:28:50
r007,qwen2.5-7b-instruct-1m,,Q07,Factual direta,"A Sessão Solene do Dia da Polícia Militar do DF em 16 de maio de 2025 foi marcada por discursos que destacaram a importância da PMDF para a segurança pública [D2]. Izalci Lucas, representante do partido PL, enfatizou o papel corajoso e disciplinado da instituição, além de defender a eliminação da quarentena de 4 anos para policiais militares concorrerem a cargos eletivos [D4]. Damares Alves também ressaltou a excelência da PMDF como a melhor polícia do Brasil, segundo sua visão [D3]. Esses discursos refletem o tema predominante de ""Segurança"" na sessão, que foi mencionada em 13 dos 152 pronunciamentos analisados.",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D2;D4;D3,3,3,0,,2.888,27.34,,0.1,42,2026-06-09T10:28:57
r008,qwen2.5-7b-instruct-1m,,Q08,Factual direta,"O senador Izalci Lucas defendeu a eliminação da exigência de quarentena de 4 anos para policiais militares concorrerem a cargos eletivos durante uma sessão solene em comemoração ao Dia da Polícia Militar do Distrito Federal [D1]. Esse tema foi destacado como um dos pontos principais de sua intervenção, refletindo sua atuação política no período analisado.",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1,1,1,0,,2.675,20.67,,0.1,42,2026-06-09T10:29:02
r009,qwen2.5-7b-instruct-1m,,Q09,Factual direta,"O discurso de Eduardo Girão sobre as empresas de apostas online ocorreu em 16 de maio de 2025 [D1]. Nesse pronunciamento, ele comentou sobre a CPI das Bets e criticou a influência dessas empresas no futebol brasileiro. Embora o período seja curto (apenas 11 dias), Eduardo Girão foi um dos parlamentares mais ativos durante esse intervalo, com um total de 9 discursos [D1] [D2] [D3] [D4].",D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;D15,D1;D1;D2;D3;D4,5,5,0,,2.776,22.79,,0.1,42,2026-06-09T10:29:07
r010,qwen2.5-7b-instruct-1m,,Q10,Factual direta,"O senador Eduardo Girão foi o único parlamentar a mencionar o técnico Filipe Luís em seu discurso durante o período analisado [D1]. Esse elogio ocorreu no contexto de comentários sobre a CPI das Bets e críticas à influência das empresas de apostas online no futebol brasileiro. Embora o período seja curto, Eduardo Girão se destaca como um dos parlamentares mais ativos, com 9 discursos registrados [D1].",D1,D1;D1,2,2,0,,2.529,23.06,,0.1,42,2026-06-09T10:29:12
