anotacao_id;modelo;run_id;pergunta_id
A001;meta-llama-3.1-8b-instruct;r022;Q22
A002;mistralai/mistral-7b-instruct-v0.3;r010;Q10
A003;mistralai/mistral-7b-instruct-v0.3;r025;Q25
A004;meta-llama-3.1-8b-instruct;r003;Q03
A005;qwen2.5-7b-instruct-1m;r024;Q24
A006;mistralai/mistral-7b-instruct-v0.3;r006;Q06
A007;qwen2.5-7b-instruct-1m;r014;Q14
A008;gemma-2-9b-it;r012;Q12
A009;qwen2.5-7b-instruct-1m;r017;Q17
A010;meta-llama-3.1-8b-instruct;r027;Q27
A011;gemma-2-9b-it;r031;Q31
A012;qwen2.5-7b-instruct-1m;r021;Q21
A013;qwen2.5-7b-instruct-1m;r032;Q32
A014;gemma-2-9b-it;r019;Q19
A015;mistralai/mistral-7b-instruct-v0.3;r017;Q17
A016;qwen2.5-7b-instruct-1m;r001;Q01
A017;gemma-2-9b-it;r001;Q01
A018;gemma-2-9b-it;r018;Q18
A019;meta-llama-3.1-8b-instruct;r013;Q13
A020;qwen2.5-7b-instruct-1m;r003;Q03
A021;gemma-2-9b-it;r039;Q39
A022;meta-llama-3.1-8b-instruct;r033;Q33
A023;qwen2.5-7b-instruct-1m;r012;Q12
A024;mistralai/mistral-7b-instruct-v0.3;r015;Q15
A025;gemma-2-9b-it;r003;Q03
A026;gemma-2-9b-it;r020;Q20
A027;meta-llama-3.1-8b-instruct;r037;Q37
A028;qwen2.5-7b-instruct-1m;r004;Q04
A029;meta-llama-3.1-8b-instruct;r028;Q28
A030;qwen2.5-7b-instruct-1m;r037;Q37
A031;qwen2.5-7b-instruct-1m;r036;Q36
A032;qwen2.5-7b-instruct-1m;r023;Q23
A033;mistralai/mistral-7b-instruct-v0.3;r032;Q32
A034;gemma-2-9b-it;r004;Q04
A035;mistralai/mistral-7b-instruct-v0.3;r022;Q22
A036;meta-llama-3.1-8b-instruct;r015;Q15
A037;gemma-2-9b-it;r033;Q33
A038;meta-llama-3.1-8b-instruct;r036;Q36
A039;gemma-2-9b-it;r015;Q15
A040;qwen2.5-7b-instruct-1m;r008;Q08
A041;meta-llama-3.1-8b-instruct;r014;Q14
A042;meta-llama-3.1-8b-instruct;r004;Q04
A043;meta-llama-3.1-8b-instruct;r024;Q24
A044;mistralai/mistral-7b-instruct-v0.3;r018;Q18
A045;meta-llama-3.1-8b-instruct;r010;Q10
A046;meta-llama-3.1-8b-instruct;r026;Q26
A047;mistralai/mistral-7b-instruct-v0.3;r013;Q13
A048;qwen2.5-7b-instruct-1m;r019;Q19
A049;meta-llama-3.1-8b-instruct;r025;Q25
A050;gemma-2-9b-it;r017;Q17
A051;mistralai/mistral-7b-instruct-v0.3;r004;Q04
A052;meta-llama-3.1-8b-instruct;r030;Q30
A053;qwen2.5-7b-instruct-1m;r011;Q11
A054;gemma-2-9b-it;r026;Q26
A055;meta-llama-3.1-8b-instruct;r039;Q39
A056;mistralai/mistral-7b-instruct-v0.3;r026;Q26
A057;gemma-2-9b-it;r014;Q14
A058;mistralai/mistral-7b-instruct-v0.3;r040;Q40
A059;qwen2.5-7b-instruct-1m;r025;Q25
A060;qwen2.5-7b-instruct-1m;r022;Q22
A061;gemma-2-9b-it;r037;Q37
A062;meta-llama-3.1-8b-instruct;r021;Q21
A063;mistralai/mistral-7b-instruct-v0.3;r012;Q12
A064;gemma-2-9b-it;r028;Q28
A065;mistralai/mistral-7b-instruct-v0.3;r023;Q23
A066;meta-llama-3.1-8b-instruct;r035;Q35
A067;meta-llama-3.1-8b-instruct;r012;Q12
A068;qwen2.5-7b-instruct-1m;r016;Q16
A069;gemma-2-9b-it;r005;Q05
A070;mistralai/mistral-7b-instruct-v0.3;r016;Q16
A071;qwen2.5-7b-instruct-1m;r029;Q29
A072;meta-llama-3.1-8b-instruct;r002;Q02
A073;qwen2.5-7b-instruct-1m;r040;Q40
A074;qwen2.5-7b-instruct-1m;r013;Q13
A075;mistralai/mistral-7b-instruct-v0.3;r021;Q21
A076;mistralai/mistral-7b-instruct-v0.3;r038;Q38
A077;qwen2.5-7b-instruct-1m;r026;Q26
A078;mistralai/mistral-7b-instruct-v0.3;r009;Q09
A079;gemma-2-9b-it;r032;Q32
A080;mistralai/mistral-7b-instruct-v0.3;r036;Q36
A081;gemma-2-9b-it;r022;Q22
A082;qwen2.5-7b-instruct-1m;r002;Q02
A083;gemma-2-9b-it;r010;Q10
A084;mistralai/mistral-7b-instruct-v0.3;r003;Q03
A085;gemma-2-9b-it;r035;Q35
A086;qwen2.5-7b-instruct-1m;r009;Q09
A087;qwen2.5-7b-instruct-1m;r005;Q05
A088;meta-llama-3.1-8b-instruct;r008;Q08
A089;gemma-2-9b-it;r021;Q21
A090;mistralai/mistral-7b-instruct-v0.3;r030;Q30
A091;mistralai/mistral-7b-instruct-v0.3;r002;Q02
A092;mistralai/mistral-7b-instruct-v0.3;r037;Q37
A093;qwen2.5-7b-instruct-1m;r035;Q35
A094;mistralai/mistral-7b-instruct-v0.3;r034;Q34
A095;qwen2.5-7b-instruct-1m;r006;Q06
A096;mistralai/mistral-7b-instruct-v0.3;r020;Q20
A097;mistralai/mistral-7b-instruct-v0.3;r033;Q33
A098;mistralai/mistral-7b-instruct-v0.3;r031;Q31
A099;mistralai/mistral-7b-instruct-v0.3;r019;Q19
A100;gemma-2-9b-it;r030;Q30
A101;mistralai/mistral-7b-instruct-v0.3;r005;Q05
A102;mistralai/mistral-7b-instruct-v0.3;r039;Q39
A103;qwen2.5-7b-instruct-1m;r030;Q30
A104;mistralai/mistral-7b-instruct-v0.3;r011;Q11
A105;gemma-2-9b-it;r025;Q25
A106;meta-llama-3.1-8b-instruct;r034;Q34
A107;meta-llama-3.1-8b-instruct;r007;Q07
A108;meta-llama-3.1-8b-instruct;r040;Q40
A109;mistralai/mistral-7b-instruct-v0.3;r001;Q01
A110;mistralai/mistral-7b-instruct-v0.3;r027;Q27
A111;gemma-2-9b-it;r038;Q38
A112;qwen2.5-7b-instruct-1m;r038;Q38
A113;gemma-2-9b-it;r011;Q11
A114;qwen2.5-7b-instruct-1m;r007;Q07
A115;gemma-2-9b-it;r016;Q16
A116;meta-llama-3.1-8b-instruct;r029;Q29
A117;meta-llama-3.1-8b-instruct;r019;Q19
A118;mistralai/mistral-7b-instruct-v0.3;r014;Q14
A119;gemma-2-9b-it;r006;Q06
A120;mistralai/mistral-7b-instruct-v0.3;r024;Q24
A121;gemma-2-9b-it;r034;Q34
A122;meta-llama-3.1-8b-instruct;r038;Q38
A123;meta-llama-3.1-8b-instruct;r005;Q05
A124;qwen2.5-7b-instruct-1m;r015;Q15
A125;meta-llama-3.1-8b-instruct;r006;Q06
A126;gemma-2-9b-it;r013;Q13
A127;meta-llama-3.1-8b-instruct;r009;Q09
A128;qwen2.5-7b-instruct-1m;r028;Q28
A129;qwen2.5-7b-instruct-1m;r034;Q34
A130;mistralai/mistral-7b-instruct-v0.3;r007;Q07
A131;qwen2.5-7b-instruct-1m;r027;Q27
A132;gemma-2-9b-it;r040;Q40
A133;qwen2.5-7b-instruct-1m;r018;Q18
A134;mistralai/mistral-7b-instruct-v0.3;r008;Q08
A135;qwen2.5-7b-instruct-1m;r031;Q31
A136;meta-llama-3.1-8b-instruct;r001;Q01
A137;gemma-2-9b-it;r002;Q02
A138;meta-llama-3.1-8b-instruct;r032;Q32
A139;mistralai/mistral-7b-instruct-v0.3;r035;Q35
A140;meta-llama-3.1-8b-instruct;r017;Q17
A141;mistralai/mistral-7b-instruct-v0.3;r028;Q28
A142;qwen2.5-7b-instruct-1m;r033;Q33
A143;meta-llama-3.1-8b-instruct;r011;Q11
A144;qwen2.5-7b-instruct-1m;r039;Q39
A145;qwen2.5-7b-instruct-1m;r010;Q10
A146;meta-llama-3.1-8b-instruct;r020;Q20
A147;meta-llama-3.1-8b-instruct;r016;Q16
A148;gemma-2-9b-it;r024;Q24
A149;gemma-2-9b-it;r008;Q08
A150;gemma-2-9b-it;r009;Q09
A151;mistralai/mistral-7b-instruct-v0.3;r029;Q29
A152;gemma-2-9b-it;r023;Q23
A153;qwen2.5-7b-instruct-1m;r020;Q20
A154;gemma-2-9b-it;r027;Q27
A155;gemma-2-9b-it;r036;Q36
A156;meta-llama-3.1-8b-instruct;r018;Q18
A157;meta-llama-3.1-8b-instruct;r023;Q23
A158;meta-llama-3.1-8b-instruct;r031;Q31
A159;gemma-2-9b-it;r007;Q07
A160;gemma-2-9b-it;r029;Q29
